method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,upload,False,vip_http_client_visible_total_down_ms,100,1366.88,1361.0,59.46109499649176,100.0,1261.0,1512.0,1355.2258395325562,1378.534160467444
postcopy,upload,False,vip_http_client_visible_down_segments,100,1.01,1.0,0.09999999999999999,0.0,1.0,2.0,0.9904003601545994,1.0295996398454006
postcopy,upload,False,vip_http_client_visible_outage_span_ms,100,1368.27,1361.0,61.204716098739254,100.0,1261.0,1512.0,1356.2740960762471,1380.2659039237528
postcopy,upload,False,vip_http_cutover_near_downtime_ms,100,1366.77,1361.0,59.45983365417211,100.0,1261.0,1512.0,1355.116086751108,1378.423913248892
postcopy,upload,False,vip_http_downtime_ms,100,1366.77,1361.0,59.45983365417211,100.0,1261.0,1512.0,1355.116086751108,1378.423913248892
postcopy,upload,False,vip_l4_downtime_ms,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,upload,False,http_downtime_ms,100,2477.28,2452.0,62.913774567283994,55.25,2355.0,2650.0,2464.9491267716653,2489.610873228335
postcopy,upload,False,l4_downtime_ms,100,665.78,651.0,23.209446004555637,50.0,649.0,701.0,661.2310321729943,670.3289678270056
postcopy,upload,False,vip_http_downphase_ms,100,1355.35,1350.0,59.41250676074827,100.0,1250.0,1500.0,1343.705362651769,1366.9946373482308
postcopy,upload,False,postcopy_restore_to_readiness_ms,100,1309.96,1309.0,22.887921917399353,23.25,1266.0,1410.0,1305.4740497360933,1314.4459502639068
postcopy,upload,False,postcopy_readiness_gate_ms,0,,,,,,,,
postcopy,upload,False,postcopy_warmup_duration_ms,0,,,,,,,,
postcopy,upload,False,postcopy_cutover_to_health_ok_ms,100,1070.76,1070.0,15.362370397904884,21.0,1025.0,1117.0,1067.7490307302942,1073.7709692697058
postcopy,upload,False,latency_src_p50_ms,100,1.11175,1.11,0.05752634442610012,0.08999999999999986,0.985,1.26,1.1004750436762598,1.1230249563237402
postcopy,upload,False,latency_dst_p50_ms,100,1.2929500000000003,1.3050000000000002,0.11241853391535028,0.17249999999999988,1.04,1.58,1.270916372233112,1.3149836277668885
postcopy,upload,False,latency_vip_p50_ms,100,1.1306000000000003,1.13,0.1048068931343967,0.17249999999999988,0.915,1.32,1.1100582264125047,1.1511417735874958
postcopy,upload,False,latency_src_avg_ms,100,1.4347299999999998,1.434,0.1048778852193388,0.1725000000000001,1.197,1.667,1.414174312219537,1.4552856877804627
postcopy,upload,False,latency_dst_avg_ms,100,1.79685,1.805,0.2085040694319825,0.33175,1.281,2.285,1.7559839533283277,1.8377160466716724
postcopy,upload,False,latency_vip_avg_ms,100,1.4801,1.488,0.13013198428262487,0.1545000000000003,1.122,1.817,1.4545945997569323,1.5056054002430677
postcopy,upload,False,latency_delta_dst_src_p50_ms,100,0.18119999999999997,0.17499999999999993,0.11437162535729167,0.14125000000000015,-0.040000000000000036,0.49,0.15878357334464002,0.20361642665535992
postcopy,upload,False,dl_avg_bps,0,,,,,,,,
postcopy,upload,False,stream_disconnects,100,24.83,25.0,0.4934930126509933,0.0,24.0,27.0,24.733277146858185,24.92672285314181
postcopy,upload,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,upload,False,upload_disconnects,100,1.56,1.0,0.640706680552849,1.0,1.0,3.0,1.4344237981462207,1.6855762018537794
