method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,wrk1,False,vip_http_client_visible_total_down_ms,100,2511.7,2462.0,557.6074702773367,100.25,2211.0,7962.0,2402.410944074593,2620.989055925407
precopy,wrk1,False,vip_http_client_visible_down_segments,100,1.01,1.0,0.09999999999999999,0.0,1.0,2.0,0.9904003601545994,1.0295996398454006
precopy,wrk1,False,vip_http_client_visible_outage_span_ms,100,2515.39,2462.0,559.255780642291,100.25,2211.0,7962.0,2405.7778811795274,2625.0021188204723
precopy,wrk1,False,vip_http_cutover_near_downtime_ms,100,2511.56,2462.0,557.5929205527138,100.25,2211.0,7962.0,2402.2737957682175,2620.8462042317824
precopy,wrk1,False,vip_http_downtime_ms,100,2511.56,2462.0,557.5929205527138,100.25,2211.0,7962.0,2402.2737957682175,2620.8462042317824
precopy,wrk1,False,vip_l4_downtime_ms,100,2167.01,2100.0,557.9492662755046,100.0,1945.0,7649.0,2057.6539532899465,2276.366046710054
precopy,wrk1,False,http_downtime_ms,100,2172.31,2131.0,572.8949820910029,119.25,1886.0,7780.0,2060.0246468177916,2284.5953531822083
precopy,wrk1,False,l4_downtime_ms,100,1730.26,1700.0,548.5106855123352,144.5,1450.0,7106.0,1622.7538811260447,1837.7661188739553
precopy,wrk1,False,vip_http_downphase_ms,100,2498.87,2449.0,557.653827217299,101.0,2199.0,7950.0,2389.571858281317,2608.168141718683
precopy,wrk1,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,wrk1,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,wrk1,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,wrk1,False,postcopy_cutover_to_health_ok_ms,100,1035.15,1037.5,35.322575549276465,45.75,905.0,1103.0,1028.2269024082225,1042.0730975917777
precopy,wrk1,False,latency_src_p50_ms,100,15.31835,15.2825,1.9055955689028619,2.12125,10.01,19.79,14.944860131585129,15.691839868414872
precopy,wrk1,False,latency_dst_p50_ms,100,7.671900000000001,8.217500000000001,1.7169281619017478,1.9412500000000001,2.545,10.18,7.335388263863003,8.008411736136999
precopy,wrk1,False,latency_vip_p50_ms,100,12.082799999999999,12.18,1.1915521920010999,1.70125,8.97,14.105,11.849260061797807,12.31633993820219
precopy,wrk1,False,latency_src_avg_ms,100,16.91645,17.0395,1.7308116702515004,2.0410000000000004,11.001,20.115,16.577217146228545,17.255682853771457
precopy,wrk1,False,latency_dst_avg_ms,100,8.304490000000001,8.599,1.462230339432046,1.260250000000001,3.116,10.737,8.017898119761142,8.59108188023886
precopy,wrk1,False,latency_vip_avg_ms,100,14.14409,14.347,1.3425122770538838,1.6902500000000007,9.86,16.884,13.880962428817153,14.407217571182848
precopy,wrk1,False,latency_delta_dst_src_p50_ms,100,-7.64645,-7.1775,2.6396303972030597,2.556249999999997,-15.065000000000001,-1.3599999999999994,-8.163808051101515,-7.129091948898484
precopy,wrk1,False,dl_avg_bps,0,,,,,,,,
precopy,wrk1,False,stream_disconnects,100,25.29,25.0,1.312680963955566,0.0,23.0,36.0,25.032719258745576,25.547280741254422
precopy,wrk1,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,wrk1,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
