method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,cpu,False,vip_http_client_visible_total_down_ms,100,9954.94,9914.5,393.6424778959207,540.0,9044.0,11094.0,9877.787492053889,10032.092507946112
postcopy,cpu,False,vip_http_client_visible_down_segments,100,2.25,2.0,0.5,0.0,2.0,4.0,2.1520018007729975,2.3479981992270025
postcopy,cpu,False,vip_http_client_visible_outage_span_ms,100,13351.62,13362.0,388.13825975658295,561.25,12511.0,14329.0,13275.546298985506,13427.693701014496
postcopy,cpu,False,vip_http_cutover_near_downtime_ms,100,1205.27,1212.0,34.14403685162685,48.25,1162.0,1312.0,1198.5778917484004,1211.9621082515996
postcopy,cpu,False,vip_http_downtime_ms,100,1205.27,1212.0,34.14403685162685,48.25,1162.0,1312.0,1198.5778917484004,1211.9621082515996
postcopy,cpu,False,vip_l4_downtime_ms,100,1200.85,1210.0,33.34829209807582,50.0,1159.0,1310.0,1194.313854854185,1207.386145145815
postcopy,cpu,False,http_downtime_ms,100,11783.97,11770.5,385.3022545661229,525.0,11001.0,12697.0,11708.452145788831,11859.487854211167
postcopy,cpu,False,l4_downtime_ms,100,2359.58,2350.0,65.90123923973913,100.25,2238.0,2550.0,2346.6635944553555,2372.4964055446444
postcopy,cpu,False,vip_http_downphase_ms,100,7013.14,7006.0,118.4793397153864,156.75,6703.0,7267.0,6989.918476124576,7036.361523875425
postcopy,cpu,False,postcopy_restore_to_readiness_ms,100,3955.79,3965.5,224.56054930247723,331.75,3508.0,4425.0,3911.776941101861,3999.8030588981387
postcopy,cpu,False,postcopy_readiness_gate_ms,100,1783.74,1775.5,40.39242353199271,45.5,1711.0,1916.0,1775.8232304629007,1791.6567695370993
postcopy,cpu,False,postcopy_warmup_duration_ms,100,575.21,575.0,14.43571258995544,19.0,538.0,612.0,572.3806523232516,578.0393476767484
postcopy,cpu,False,postcopy_cutover_to_health_ok_ms,100,2958.19,2956.0,58.29664560580556,67.75,2840.0,3097.0,2946.7640674193126,2969.6159325806875
postcopy,cpu,False,latency_src_p50_ms,100,5.379999999999999,5.52,0.4910142049828594,0.5625,3.83,6.45,5.283762984233602,5.476237015766396
postcopy,cpu,False,latency_dst_p50_ms,100,2.79565,2.7225,0.2657547428237798,0.3174999999999999,2.44,3.72,2.743563027534469,2.8477369724655315
postcopy,cpu,False,latency_vip_p50_ms,100,3.62355,3.4975,0.40226272572169863,0.5750000000000002,2.9,4.74,3.5447079545262556,3.702392045473744
postcopy,cpu,False,latency_src_avg_ms,100,5.861130000000002,5.8835,0.4215786746135161,0.5914999999999999,4.605,6.807,5.77850209811074,5.943757901889264
postcopy,cpu,False,latency_dst_avg_ms,100,3.79165,3.7030000000000003,0.3491882180374384,0.5397499999999997,3.179,4.676,3.7232103668820904,3.86008963311791
postcopy,cpu,False,latency_vip_avg_ms,100,4.7241599999999995,4.6505,0.34884205913596805,0.4219999999999997,4.025,5.637,4.65578821278007,4.792531787219929
postcopy,cpu,False,latency_delta_dst_src_p50_ms,100,-2.58435,-2.6425,0.5259208638668986,0.71875,-3.5,-0.8900000000000001,-2.6874285951897314,-2.481271404810269
postcopy,cpu,False,dl_avg_bps,0,,,,,,,,
postcopy,cpu,False,stream_disconnects,100,43.69,44.0,0.8127146181194546,1.0,42.0,46.0,43.530710861877665,43.84928913812233
postcopy,cpu,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,cpu,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,cpu,False,vip_http_client_visible_total_down_ms,100,1933.16,1862.0,531.7237210766091,150.0,1713.0,7112.0,1828.9440656964225,2037.3759343035777
precopy,cpu,False,vip_http_client_visible_down_segments,100,1.05,1.0,0.2190429135575904,0.0,1.0,2.0,1.0070683778358402,1.0929316221641598
precopy,cpu,False,vip_http_client_visible_outage_span_ms,100,1949.89,1862.0,537.8432593387795,150.0,1713.0,7112.0,1844.4746582368357,2055.3053417631645
precopy,cpu,False,vip_http_cutover_near_downtime_ms,100,1927.81,1862.0,531.8186957521474,102.5,1713.0,7112.0,1823.5754510020727,2032.0445489979272
precopy,cpu,False,vip_http_downtime_ms,100,1927.81,1862.0,531.8186957521474,102.5,1713.0,7112.0,1823.5754510020727,2032.0445489979272
precopy,cpu,False,vip_l4_downtime_ms,100,1622.69,1550.0,531.2364402547565,53.25,1450.0,6848.0,1518.5695709825413,1726.8104290174588
precopy,cpu,False,http_downtime_ms,100,1630.64,1555.0,556.9648361313923,116.5,1412.0,7056.0,1521.476898052722,1739.8031019472783
precopy,cpu,False,l4_downtime_ms,100,1086.86,1047.0,525.2011066479605,53.0,900.0,6252.0,983.9224746329417,1189.7975253670581
precopy,cpu,False,vip_http_downphase_ms,100,1914.8,1849.0,531.8377325250378,101.25,1699.0,7100.0,1810.561719863148,2019.0382801368519
precopy,cpu,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,cpu,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,cpu,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,cpu,False,postcopy_cutover_to_health_ok_ms,100,1006.57,1005.0,40.34879618446322,63.25,902.0,1095.0,998.6617812658906,1014.4782187341095
precopy,cpu,False,latency_src_p50_ms,100,5.68525,5.79,0.48148516817417863,0.4475000000000007,3.5,6.395,5.59088064112884,5.77961935887116
precopy,cpu,False,latency_dst_p50_ms,100,3.9578999999999995,4.0525,0.8202673190780397,1.1812500000000008,2.47,6.03,3.7971305596911815,4.1186694403088175
precopy,cpu,False,latency_vip_p50_ms,100,4.7143999999999995,4.795,0.5754248671875224,0.7925000000000004,3.21,5.54,4.601618798450371,4.827181201549628
precopy,cpu,False,latency_src_avg_ms,100,5.972210000000001,6.016500000000001,0.4441523602221529,0.6234999999999999,4.453,7.057,5.885157737031613,6.05926226296839
precopy,cpu,False,latency_dst_avg_ms,100,5.16483,5.0915,0.963042275994951,1.3872500000000008,3.193,7.471,4.9760771823460415,5.353582817653959
precopy,cpu,False,latency_vip_avg_ms,100,5.3590599999999995,5.3735,0.514959345654361,0.77325,4.301,6.668,5.258129822901513,5.4599901770984856
precopy,cpu,False,latency_delta_dst_src_p50_ms,100,-1.7273500000000002,-1.7125,0.8257208222290547,1.2312500000000004,-3.5049999999999994,0.3200000000000003,-1.8891883072853748,-1.5655116927146255
precopy,cpu,False,dl_avg_bps,0,,,,,,,,
precopy,cpu,False,stream_disconnects,100,21.68,22.0,1.4762770537381997,1.0,20.0,32.0,21.390655014347022,21.969344985652977
precopy,cpu,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,cpu,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
