method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,cpu,False,vip_http_client_visible_total_down_ms,100,1016.15,1011.0,67.61960970134047,100.0,910.0,1311.0,1002.8968000336718,1029.4031999663282
precopy,cpu,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,cpu,False,vip_http_client_visible_outage_span_ms,100,1016.15,1011.0,67.61960970134047,100.0,910.0,1311.0,1002.8968000336718,1029.4031999663282
precopy,cpu,False,vip_http_cutover_near_downtime_ms,100,1016.15,1011.0,67.61960970134047,100.0,910.0,1311.0,1002.8968000336718,1029.4031999663282
precopy,cpu,False,vip_http_downtime_ms,100,1016.15,1011.0,67.61960970134047,100.0,910.0,1311.0,1002.8968000336718,1029.4031999663282
precopy,cpu,False,vip_l4_downtime_ms,100,819.44,800.0,47.60174005817073,50.0,750.0,1150.0,810.1102303884549,828.7697696115453
precopy,cpu,False,http_downtime_ms,100,850.06,836.0,66.2774730533945,101.25,748.0,1139.0,837.0698539829023,863.0501460170976
precopy,cpu,False,l4_downtime_ms,100,600.22,600.0,45.518245869878456,0.25,550.0,951.0,591.29858774556,609.1414122544401
precopy,cpu,False,vip_http_downphase_ms,100,1004.85,1000.0,67.61916156017472,100.0,899.0,1300.0,991.5968878677263,1018.1031121322737
precopy,cpu,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,cpu,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,cpu,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,cpu,False,postcopy_cutover_to_health_ok_ms,100,719.5,719.0,9.3598109279013,12.0,700.0,743.0,717.6655107679209,721.3344892320791
precopy,cpu,False,latency_src_p50_ms,100,1.0046,0.99,0.08556313753626912,0.09000000000000008,0.82,1.38,0.9878299332024665,1.0213700667975334
precopy,cpu,False,latency_dst_p50_ms,100,1.1360000000000001,1.1549999999999998,0.11740889440263239,0.16375000000000006,0.82,1.41,1.1129882795506176,1.1590117204493826
precopy,cpu,False,latency_vip_p50_ms,100,0.9761500000000002,0.96,0.07840536662213572,0.07999999999999996,0.83,1.22,0.9607828305225957,0.9915171694774046
precopy,cpu,False,latency_src_avg_ms,100,1.5735899999999998,1.5419999999999998,0.23756381790112224,0.3055000000000001,1.011,2.355,1.5270283472883968,1.6201516527116029
precopy,cpu,False,latency_dst_avg_ms,100,1.4803199999999999,1.456,0.28801784737068015,0.43825000000000003,0.864,2.199,1.423869539224871,1.5367704607751287
precopy,cpu,False,latency_vip_avg_ms,100,1.34153,1.3235000000000001,0.16086128380148726,0.2287499999999998,1.014,1.753,1.3100017677242208,1.373058232275779
precopy,cpu,False,latency_delta_dst_src_p50_ms,100,0.1314,0.1399999999999999,0.13092344898813768,0.15499999999999986,-0.24499999999999988,0.4700000000000001,0.10573947552514831,0.15706052447485166
precopy,cpu,False,dl_avg_bps,0,,,,,,,,
precopy,cpu,False,stream_disconnects,100,17.07,17.0,0.7420283421851624,1.0,16.0,18.0,16.92456511738091,17.21543488261909
