method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,cpu,False,vip_http_client_visible_total_down_ms,100,1933.16,1862.0,531.7237210766091,150.0,1713.0,7112.0,1828.9440656964225,2037.3759343035777
precopy,cpu,False,vip_http_client_visible_down_segments,100,1.05,1.0,0.2190429135575904,0.0,1.0,2.0,1.0070683778358402,1.0929316221641598
precopy,cpu,False,vip_http_client_visible_outage_span_ms,100,1949.89,1862.0,537.8432593387795,150.0,1713.0,7112.0,1844.4746582368357,2055.3053417631645
precopy,cpu,False,vip_http_cutover_near_downtime_ms,100,1927.81,1862.0,531.8186957521474,102.5,1713.0,7112.0,1823.5754510020727,2032.0445489979272
precopy,cpu,False,vip_http_downtime_ms,100,1927.81,1862.0,531.8186957521474,102.5,1713.0,7112.0,1823.5754510020727,2032.0445489979272
precopy,cpu,False,vip_l4_downtime_ms,100,1622.69,1550.0,531.2364402547565,53.25,1450.0,6848.0,1518.5695709825413,1726.8104290174588
precopy,cpu,False,http_downtime_ms,100,1630.64,1555.0,556.9648361313923,116.5,1412.0,7056.0,1521.476898052722,1739.8031019472783
precopy,cpu,False,l4_downtime_ms,100,1086.86,1047.0,525.2011066479605,53.0,900.0,6252.0,983.9224746329417,1189.7975253670581
precopy,cpu,False,vip_http_downphase_ms,100,1914.8,1849.0,531.8377325250378,101.25,1699.0,7100.0,1810.561719863148,2019.0382801368519
precopy,cpu,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,cpu,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,cpu,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,cpu,False,postcopy_cutover_to_health_ok_ms,100,1006.57,1005.0,40.34879618446322,63.25,902.0,1095.0,998.6617812658906,1014.4782187341095
precopy,cpu,False,latency_src_p50_ms,100,5.68525,5.79,0.48148516817417863,0.4475000000000007,3.5,6.395,5.59088064112884,5.77961935887116
precopy,cpu,False,latency_dst_p50_ms,100,3.9578999999999995,4.0525,0.8202673190780397,1.1812500000000008,2.47,6.03,3.7971305596911815,4.1186694403088175
precopy,cpu,False,latency_vip_p50_ms,100,4.7143999999999995,4.795,0.5754248671875224,0.7925000000000004,3.21,5.54,4.601618798450371,4.827181201549628
precopy,cpu,False,latency_src_avg_ms,100,5.972210000000001,6.016500000000001,0.4441523602221529,0.6234999999999999,4.453,7.057,5.885157737031613,6.05926226296839
precopy,cpu,False,latency_dst_avg_ms,100,5.16483,5.0915,0.963042275994951,1.3872500000000008,3.193,7.471,4.9760771823460415,5.353582817653959
precopy,cpu,False,latency_vip_avg_ms,100,5.3590599999999995,5.3735,0.514959345654361,0.77325,4.301,6.668,5.258129822901513,5.4599901770984856
precopy,cpu,False,latency_delta_dst_src_p50_ms,100,-1.7273500000000002,-1.7125,0.8257208222290547,1.2312500000000004,-3.5049999999999994,0.3200000000000003,-1.8891883072853748,-1.5655116927146255
precopy,cpu,False,dl_avg_bps,0,,,,,,,,
precopy,cpu,False,stream_disconnects,100,21.68,22.0,1.4762770537381997,1.0,20.0,32.0,21.390655014347022,21.969344985652977
precopy,cpu,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,cpu,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,download,False,vip_http_client_visible_total_down_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,download,False,vip_http_client_visible_outage_span_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_http_cutover_near_downtime_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_http_downtime_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_l4_downtime_ms,100,1411.34,1350.0,536.2348388758815,52.0,1251.0,6703.0,1306.2399028547634,1516.4400971452365
precopy,download,False,http_downtime_ms,100,1499.75,1447.0,549.8051146919372,70.5,1282.0,6909.0,1391.9901776687889,1607.5098223312111
precopy,download,False,l4_downtime_ms,100,1004.65,951.0,521.3531224446904,26.75,898.0,6153.0,902.4666656780906,1106.8333343219094
precopy,download,False,vip_http_downphase_ms,100,1752.56,1700.0,543.9994303324409,100.0,1541.0,7095.0,1645.9380708938108,1859.181929106189
precopy,download,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,download,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,download,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,download,False,postcopy_cutover_to_health_ok_ms,100,969.76,961.0,52.72227980539905,90.5,888.0,1125.0,959.4266230398574,980.0933769601426
precopy,download,False,latency_src_p50_ms,100,7.4357,7.46,0.502036267755044,0.6875,6.24,8.955,7.33730269962672,7.534097300373279
precopy,download,False,latency_dst_p50_ms,100,6.5752999999999995,6.4125,0.985968431276959,1.32625,4.64,8.685,6.38205373848037,6.768546261519629
precopy,download,False,latency_vip_p50_ms,100,7.1965499999999984,7.15,0.560719548095268,0.6912500000000001,6.06,8.69,7.086650988030568,7.306449011969429
precopy,download,False,latency_src_avg_ms,100,8.745159999999998,8.693,0.44970872099323783,0.5177500000000013,7.839,10.062,8.657018710331966,8.83330128966803
precopy,download,False,latency_dst_avg_ms,100,7.79032,7.711,0.8478592874487672,1.366249999999999,6.148,9.953,7.624142633264262,7.956497366735738
precopy,download,False,latency_vip_avg_ms,100,8.399830000000001,8.375499999999999,0.46753786763936855,0.6477500000000003,7.422,9.69,8.30819426180182,8.491465738198183
precopy,download,False,latency_delta_dst_src_p50_ms,100,-0.8603999999999999,-0.8725,1.058891091394362,1.4437500000000003,-3.1399999999999997,1.21,-1.0679388402683259,-0.6528611597316739
precopy,download,False,dl_avg_bps,100,267674291.36612004,269069775.9875,14316773.385040423,19992126.71874997,235674746.739,301401552.17,264868255.34516996,270480327.3870701
precopy,download,False,stream_disconnects,100,22.8,22.0,1.775250729197189,1.0,22.0,33.0,22.452057250724504,23.147942749275497
precopy,download,False,download_disconnects,100,3.79,4.0,1.2251159499855884,1.0,3.0,15.0,3.5498816861142672,4.030118313885732
precopy,download,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
